;USD-EUR;USD-GBP;USD-CHF;EUR-USD;EUR-GBP;EUR-CHF;GBP-USD;GBP-EUR;GBP-CHF;CHF-USD;CHF-EUR;CHF-GBP;USD-PLN;EUR-PLN;GBP-PLN;CHF-PLN
1999-01-04 01:00:00;0.8482483671;0.6031894139;1.37144796;1.1789;0.7111;1.6168;1.657854029;1.406271973;2.2736605259;0.7291563582;0.6185056903;0.4398193963;3.4533887522;4.0712;5.7252144565;2.5180603662
1999-01-05 01:00:00;0.8481764207;0.6040712468;1.3675148431;1.179;0.7122;1.6123;1.6554338669;1.4040999719;2.2638303847;0.7312534888;0.6202319668;0.4417292067;3.4134860051;4.0245;5.650800337;2.4961235502
1999-01-06 01:00:00;0.8515711488;0.6025717449;1.3723920634;1.1743;0.7076;1.6116;1.65955342;1.4132278123;2.2775579423;0.728654753;0.6205013651;0.4390667659;3.4118198075;4.0065;5.6620972301;2.4860387193
1999-01-07 01:00:00;0.8596973865;0.6068174003;1.3897008253;1.1632;0.70585;1.6165;1.6479421974;1.4167316002;2.2901466317;0.7195793381;0.6186204763;0.4366532632;3.452974553;4.0165;5.6903024722;2.4846891432
1999-01-08 01:00:00;0.8577064928;0.608456986;1.3841667381;1.1659;0.7094;1.6138;1.6435015506;1.4096419509;2.2748801804;0.7224563143;0.6196554716;0.4395835915;3.461960717;4.0363;5.6897378066;2.5011153798
1999-01-09 01:00:00;0.8577064928;0.608456986;1.3841667381;1.1659;0.7094;1.6138;1.6435015506;1.4096419509;2.2748801804;0.7224563143;0.6196554716;0.4395835915;3.461960717;4.0363;5.6897378066;2.5011153798
1999-01-10 01:00:00;0.8577064928;0.608456986;1.3841667381;1.1659;0.7094;1.6138;1.6435015506;1.4096419509;2.2748801804;0.7224563143;0.6196554716;0.4395835915;3.461960717;4.0363;5.6897378066;2.5011153798
1999-01-11 01:00:00;0.8643789437;0.608868528;1.391995851;1.1569;0.7044;1.6104;1.6423906871;1.4196479273;2.2862010221;0.7183929459;0.6209637357;0.4374068554;3.4851759011;4.032;5.7240204429;2.5037257824
1999-01-12 01:00:00;0.8680555556;0.6133680556;1.3951388889;1.152;0.7066;1.6072;1.6303424851;1.4152278517;2.2745542032;0.7167745147;0.6222000996;0.4396465903;3.5008680556;4.033;5.7076139258;2.5093330015
1999-01-13 01:00:00;0.8514986376;0.6032016349;1.3565224796;1.1744;0.7084;1.5931;1.6578204404;1.4116318464;2.2488706945;0.7371790848;0.6277069864;0.4446676292;3.5791042234;4.2033;5.93351214;2.6384407758
1999-01-14 01:00:00;0.8581481164;0.6060241998;1.3673732086;1.1653;0.7062;1.5934;1.6500991221;1.4160294534;2.2563013311;0.7313292331;0.6275888038;0.4432032133;3.547155239;4.1335;5.8531577457;2.5941383206
1999-01-15 01:00:00;0.8601410631;0.6054532943;1.3748494753;1.1626;0.7039;1.5984;1.6516550646;1.4206563432;2.270777099;0.7273523524;0.6256256256;0.4403778779;3.6125924652;4.2;5.9667566416;2.6276276276
1999-01-16 01:00:00;0.8601410631;0.6054532943;1.3748494753;1.1626;0.7039;1.5984;1.6516550646;1.4206563432;2.270777099;0.7273523524;0.6256256256;0.4403778779;3.6125924652;4.2;5.9667566416;2.6276276276
1999-01-17 01:00:00;0.8601410631;0.6054532943;1.3748494753;1.1626;0.7039;1.5984;1.6516550646;1.4206563432;2.270777099;0.7273523524;0.6256256256;0.4403778779;3.6125924652;4.2;5.9667566416;2.6276276276
1999-01-18 01:00:00;0.8611780916;0.6039441957;1.3782294178;1.1612;0.7013;1.6004;1.6557821189;1.4259232853;2.2820476258;0.7255686078;0.6248437891;0.4382029493;3.5021529452;4.0667;5.7988022244;2.5410522369
1999-01-19 01:00:00;0.8608815427;0.6026170799;1.3774965565;1.1616;0.7;1.6001;1.6594285714;1.4285714286;2.2858571429;0.7259546278;0.6249609399;0.437472658;3.5272899449;4.0973;5.8532857143;2.5606524592
1999-01-20 01:00:00;0.8639308855;0.6059611231;1.384362851;1.1575;0.7014;1.6024;1.6502708868;1.4257199886;2.2845737097;0.722353969;0.6240639041;0.4377184224;3.5288984881;4.0847;5.8236384374;2.5491138293
1999-01-21 01:00:00;0.8641548566;0.6068959558;1.3852402351;1.1572;0.7023;1.603;1.6477288908;1.4238929233;2.282500356;0.7218964442;0.6238303182;0.4381160324;3.5669720014;4.1277;5.8774028193;2.5749844042
1999-01-22 01:00:00;0.8645283998;0.605602144;1.3817757413;1.1567;0.7005;1.5983;1.6512491078;1.4275517488;2.28165596;0.7237064381;0.6256647688;0.4382781706;3.5953142561;4.1587;5.9367594575;2.6019520741
1999-01-23 01:00:00;0.8645283998;0.605602144;1.3817757413;1.1567;0.7005;1.5983;1.6512491078;1.4275517488;2.28165596;0.7237064381;0.6256647688;0.4382781706;3.5953142561;4.1587;5.9367594575;2.6019520741
1999-01-24 01:00:00;0.8645283998;0.605602144;1.3817757413;1.1567;0.7005;1.5983;1.6512491078;1.4275517488;2.28165596;0.7237064381;0.6256647688;0.4382781706;3.5953142561;4.1587;5.9367594575;2.6019520741
1999-01-25 01:00:00;0.8632596685;0.6033321823;1.3782803867;1.1584;0.6989;1.5966;1.6574617256;1.4308198598;2.2844469881;0.7255417763;0.6263309533;0.4377427032;3.5917645028;4.1607;5.9532121906;2.6059751973
1999-01-26 01:00:00;0.8634087377;0.6023139354;1.3833534795;1.1582;0.6976;1.6022;1.6602637615;1.4334862385;2.2967316514;0.7228810386;0.624141805;0.4354013232;3.6122431359;4.1837;5.9972763761;2.6112220697
1999-01-27 01:00:00;0.8673779166;0.6043889323;1.3949171654;1.1529;0.6968;1.6082;1.6545637199;1.4351320321;2.3079793341;0.7168884467;0.6218132073;0.4332794429;3.6072512794;4.1588;5.9684270953;2.5859967666
