;USD-EUR;USD-GBP;USD-CHF;EUR-USD;EUR-GBP;EUR-CHF;GBP-USD;GBP-EUR;GBP-CHF;CHF-USD;CHF-EUR;CHF-GBP;USD-PLN;EUR-PLN;GBP-PLN;CHF-PLN;timestamp
2009-01-01;0.7185456636;0.6844147446;1.0670403104;1.3917;0.9525;1.485;1.4611023622;1.0498687664;1.5590551181;0.9371717172;0.6734006734;0.6414141414;2.9844794137;4.1535;4.3606299213;2.796969697;2009-01-01
2009-01-02;0.7211885187;0.6930621665;1.0726958027;1.3866;0.961;1.4874;1.4428720083;1.0405827263;1.5477627471;0.9322307382;0.6723141051;0.646093855;3.0028847541;4.1638;4.3327783559;2.799381471;2009-01-02
2009-01-03;0.7211885187;0.6930621665;1.0726958027;1.3866;0.961;1.4874;1.4428720083;1.0405827263;1.5477627471;0.9322307382;0.6723141051;0.646093855;3.0028847541;4.1638;4.3327783559;2.799381471;2009-01-03
2009-01-04;0.7211885187;0.6930621665;1.0726958027;1.3866;0.961;1.4874;1.4428720083;1.0405827263;1.5477627471;0.9322307382;0.6723141051;0.646093855;3.0028847541;4.1638;4.3327783559;2.799381471;2009-01-04
2009-01-05;0.7362685908;0.6890001473;1.1088204977;1.3582;0.9358;1.506;1.4513784997;1.0686044027;1.6093182304;0.9018592297;0.6640106242;0.6213811421;3.0452068915;4.136;4.4197478094;2.7463479416;2009-01-05
2009-01-06;0.7500750075;0.6882688269;1.1264626463;1.3332;0.9176;1.5018;1.4529206626;1.0897994769;1.6366608544;0.8877347183;0.6658676255;0.6110001332;3.0153015302;4.02;4.3809938971;2.6767878546;2009-01-06
2009-01-07;0.7355645458;0.6651710188;1.1037881574;1.3595;0.9043;1.5006;1.5033727745;1.105827712;1.6594050647;0.905970945;0.6664001066;0.6026256164;2.9236484001;3.9747;4.3953334071;2.6487405038;2009-01-07
2009-01-08;0.7343761475;0.6560182125;1.0972314019;1.3617;0.8933;1.4941;1.5243479234;1.1194447554;1.672562409;0.9113847801;0.6692992437;0.5978850144;2.9606374385;4.0315;4.5130415314;2.6982799009;2009-01-08
2009-01-09;0.7307804735;0.6539023677;1.0960245542;1.3684;0.8948;1.4998;1.5292802861;1.1175681717;1.6761287439;0.9123883184;0.6667555674;0.5966128817;2.9556416253;4.0445;4.5200044703;2.6966928924;2009-01-09
2009-01-10;0.7307804735;0.6539023677;1.0960245542;1.3684;0.8948;1.4998;1.5292802861;1.1175681717;1.6761287439;0.9123883184;0.6667555674;0.5966128817;2.9556416253;4.0445;4.5200044703;2.6966928924;2009-01-10
2009-01-11;0.7307804735;0.6539023677;1.0960245542;1.3684;0.8948;1.4998;1.5292802861;1.1175681717;1.6761287439;0.9123883184;0.6667555674;0.5966128817;2.9556416253;4.0445;4.5200044703;2.6966928924;2009-01-11
